-0.467801,0.061463,1.518556,-1.733915,-2.119121,-0.998892
-0.467813,0.061237,1.518026,-1.735074,-2.120358,-0.999965
-0.467824,0.061011,1.517496,-1.736233,-2.121596,-1.001037
-0.467786,0.060846,1.516988,-1.737408,-2.122741,-1.001963
-0.467748,0.060680,1.516479,-1.738584,-2.123887,-1.002888
-0.467667,0.060556,1.515964,-1.739805,-2.124961,-1.003677
-0.467587,0.060433,1.515448,-1.741026,-2.126034,-1.004467
-0.467479,0.060331,1.514900,-1.742309,-2.127070,-1.005132
-0.467371,0.060230,1.514351,-1.743592,-2.128106,-1.005797
-0.467239,0.060137,1.513749,-1.744961,-2.129118,-1.006356
-0.467108,0.060044,1.513146,-1.746330,-2.130130,-1.006916
-0.466952,0.059960,1.512491,-1.747786,-2.131117,-1.007382
-0.466797,0.059876,1.511835,-1.749243,-2.132105,-1.007849
-0.466627,0.059789,1.511119,-1.750785,-2.133090,-1.008237
-0.466458,0.059702,1.510404,-1.752327,-2.134076,-1.008625
-0.466284,0.059598,1.509613,-1.753960,-2.135082,-1.008961
-0.466110,0.059494,1.508822,-1.755592,-2.136088,-1.009298
-0.465931,0.059373,1.507967,-1.757299,-2.137117,-1.009599
-0.465753,0.059252,1.507112,-1.759005,-2.138145,-1.009900
-0.465568,0.059116,1.506198,-1.760771,-2.139203,-1.010168
-0.465384,0.058979,1.505284,-1.762537,-2.140261,-1.010435
-0.465183,0.058825,1.504301,-1.764377,-2.141347,-1.010672
-0.464982,0.058670,1.503318,-1.766216,-2.142432,-1.010910
-0.464760,0.058499,1.502268,-1.768120,-2.143523,-1.011120
-0.464538,0.058327,1.501219,-1.770024,-2.144613,-1.011331
-0.464287,0.058158,1.500144,-1.771943,-2.145670,-1.011516
-0.464035,0.057989,1.499068,-1.773862,-2.146726,-1.011701
-0.463730,0.057864,1.498024,-1.775742,-2.147700,-1.011853
-0.463424,0.057739,1.496980,-1.777623,-2.148674,-1.012004
-0.463047,0.057686,1.496006,-1.779430,-2.149527,-1.012114
